algo,label,color,run_dir,total_cost_m,rel_heat,rel_cool,unmet_h_mwh,unmet_c_mwh,violation_rate,export_penalty_m,starts_gt,starts_ech,gt_toggle_steps,cool_unmet_steps,export_over_soft_cap_steps,abs_blocked_rate,u_abs_phys_rate,q_abs_mean_mw,best_gate_passed,selected_best_t,reward_best_t,low_lr_event_t,final_lr
ppo,PPO+rule_residual,#B45E5E,D:\EnergyStorage\CCHP\kaggle\CCHP-SB3-ppo+mlp03290830\runs\20260328_112455_949521_train_sb3_ppo_mlp_k32,14.305886617289607,1.0,0.9973475626007837,0.0,16.044654553087938,0.0,0.6196377570051791,366,810,731,195,691,0.3734874429223744,0.6265125570776255,0.37137568906199137,False,2000000.0,2000000.0,900000.0,5e-05
ddpg,DDPG+rule_residual,#2D6A4F,D:\EnergyStorage\CCHP\kaggle\CCHP-SB3-ddpg+mlp03290830\runs\20260328_112434_292954_train_sb3_ddpg_mlp_k32,14.89318664673145,1.0,0.9980765244321351,0.0,11.635147746301234,0.0,1.3672795286928063,371,272,741,90,1436,0.19848744292237444,0.8015125570776256,0.47402367853493166,False,950000.0,400000.0,800000.0,5e-05
dqn,rbDQN,#1B5E7A,D:\EnergyStorage\CCHP\kaggle\CCHP-SB3-dqn+mlp03290830\runs\20260328_112435_662485_train_sb3_dqn_mlp_k32,14.995069954406343,1.0,0.9997159318987285,0.0,1.7183344480810008,0.0,1.2943698705263655,522,529,1043,32,2080,0.7871004566210046,0.21289954337899544,0.12934659425494197,True,900000.0,900000.0,1400000.0,5e-05
td3,TD3+rule_residual,#B07D3C,D:\EnergyStorage\CCHP\kaggle\CCHP-SB3-td3+mlp03290830\runs\20260328_112450_593601_train_sb3_td3_mlp_k32,15.103746668756365,1.0,0.9952128254070928,0.0,28.957728710660103,0.0,1.3134878442081328,389,353,777,288,1371,0.2473458904109589,0.7526541095890411,0.4633046469026597,False,1250000.0,150000.0,550000.0,5e-05
sac,SAC+rule_residual,#7C6F9B,D:\EnergyStorage\CCHP\kaggle\CCHP-SB3-sac+mlp03290830\runs\20260328_112454_348432_train_sb3_sac_mlp_k32,15.256704071818234,1.0,0.9898008656429038,0.0,61.69479722631237,0.0,1.8911222587945569,414,437,827,543,1991,0.16113013698630138,0.8388698630136986,0.5088307500220419,False,1800000.0,950000.0,1050000.0,5e-05
