datetime,coordinates,model,model elevation,utc_offset,temperature,dewpoint_temperature,relative_humidity,surface_pressure,direct_normal_solar_radiation,surface_diffuse_solar_radiation,surface_solar_radiation,surface_thermal_radiation,surface_direct_solar_radiation,wind_speed,wind_direction,total_cloud_cover,total_precipitation,snowfall
2025-10-01 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.34,13.02,0.71,100468.79,391.26,74.54,170.12,311.4,95.58,1.6,336.97,1.0,0.0,0.0
2025-10-01 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.73,13.64,0.68,100492.29,569.97,110.43,349.3,318.99,238.87,1.3,336.48,1.0,0.0,0.0
2025-10-01 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,26.0,12.55,0.43,100485.99,594.33,160.02,494.55,329.93,334.53,1.3,344.01,1.0,0.0,0.0
2025-10-01 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,26.44,12.63,0.42,100510.63,509.21,231.56,570.59,345.31,339.03,1.15,357.53,1.0,0.0,0.0
2025-10-01 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,26.88,12.71,0.41,100462.53,459.88,272.69,604.2,356.07,331.51,1.08,357.56,1.0,0.0,0.0
2025-10-01 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,29.65,10.95,0.31,100409.82,335.53,313.76,556.77,362.45,243.01,1.01,349.97,1.0,0.0,0.0
2025-10-01 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,29.83,10.92,0.31,100370.45,289.02,295.96,491.28,366.42,195.32,0.66,9.85,1.0,0.0,0.0
2025-10-01 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,29.67,11.15,0.32,100351.67,210.47,264.0,385.81,373.8,121.81,0.17,200.33,1.0,0.0,0.0
2025-10-01 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,27.45,13.29,0.42,100422.21,54.9,198.82,222.96,378.1,24.14,0.76,183.18,1.0,0.0,0.0
2025-10-01 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,26.43,15.42,0.51,100423.65,31.37,102.39,110.8,374.58,8.41,1.5,182.34,1.0,0.0,0.0
2025-10-01 10:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,22.88,14.61,0.6,100465.42,7.33,20.86,21.41,370.13,0.56,1.15,189.65,1.0,0.0,0.0
2025-10-01 11:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,21.98,14.44,0.62,100493.67,0.0,0.0,0.0,367.47,0.0,0.87,231.47,1.0,0.0,0.0
2025-10-01 12:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,20.82,14.45,0.67,100517.38,0.0,0.0,0.0,366.29,0.0,0.7,264.05,1.0,0.0,0.0
2025-10-01 13:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,20.63,14.71,0.69,100569.22,0.0,0.0,0.0,365.67,0.0,0.52,282.41,1.0,0.0,0.0
2025-10-01 14:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,20.12,14.92,0.72,100596.6,0.0,0.0,0.0,361.74,0.0,0.32,313.86,1.0,0.0,0.0
2025-10-01 15:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.93,14.09,0.73,100628.66,0.0,0.0,0.0,358.99,0.0,0.3,11.31,1.0,0.0,0.0
2025-10-01 16:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.0,14.48,0.8,100637.89,0.0,0.0,0.0,358.67,0.0,0.57,19.73,0.98,0.0,0.0
2025-10-01 17:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.13,14.22,0.83,100652.41,0.0,0.0,0.0,354.9,0.0,0.92,16.57,0.99,0.0,0.0
2025-10-01 18:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.9,14.27,0.84,100670.77,0.0,0.0,0.0,347.73,0.0,0.97,16.22,0.8,0.0,0.0
