datetime,coordinates,model,model elevation,utc_offset,temperature,dewpoint_temperature,relative_humidity,surface_pressure,direct_normal_solar_radiation,surface_diffuse_solar_radiation,surface_solar_radiation,surface_thermal_radiation,surface_direct_solar_radiation,wind_speed,wind_direction,total_cloud_cover,total_precipitation,snowfall
2023-04-01 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.16,3.57,0.52,100748.57,415.2,81.49,199.11,278.97,117.62,1.54,181.79,0.05,0.0,0.0
2023-04-01 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.22,3.44,0.52,100797.96,590.68,113.61,387.65,285.25,274.03,2.42,185.82,0.05,0.0,0.0
2023-04-01 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.5,5.22,0.39,100782.94,689.24,135.68,560.42,292.67,424.74,3.11,191.12,0.0,0.0,0.0
2023-04-01 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.76,5.84,0.4,100756.18,743.22,151.21,693.68,299.8,542.47,3.69,190.54,0.0,0.0,0.0
2023-04-01 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,20.0,6.42,0.41,100696.09,773.17,158.07,774.37,306.25,616.3,4.49,188.27,0.09,0.0,0.0
2023-04-01 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,22.31,6.11,0.35,100596.96,780.85,159.39,794.49,311.49,635.1,5.13,189.5,0.56,0.0,0.0
2023-04-01 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,22.51,6.22,0.35,100510.79,780.42,150.87,757.65,314.31,606.78,5.05,186.78,0.96,0.0,0.0
2023-04-01 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,22.62,6.12,0.34,100422.51,327.37,217.52,444.08,361.85,226.56,4.95,186.86,0.93,0.0,0.0
2023-04-01 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,22.13,6.42,0.36,100379.53,236.32,162.81,295.82,352.6,133.0,4.77,188.77,0.95,0.0,0.0
2023-04-01 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,22.57,6.19,0.35,100342.97,39.94,119.99,135.91,375.13,15.92,4.3,188.4,0.97,0.0,0.0
2023-04-01 10:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.52,7.49,0.46,100445.41,30.53,44.22,50.65,377.46,6.43,2.91,203.9,0.92,0.0,0.0
2023-04-01 11:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,20.13,7.41,0.44,100511.26,0.0,6.1,6.96,372.54,0.87,2.25,197.62,0.89,0.0,0.0
2023-04-01 12:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.93,7.37,0.44,100584.91,0.0,0.0,0.0,363.09,0.0,2.34,184.22,1.0,0.0,0.0
2023-04-01 13:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.9,6.96,0.43,100626.57,0.0,0.0,0.0,353.77,0.0,2.57,174.36,0.76,0.0,0.0
2023-04-01 14:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.35,6.74,0.44,100685.6,0.0,0.0,0.0,348.05,0.0,2.6,164.37,0.67,0.0,0.0
2023-04-01 15:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.71,6.2,0.5,100768.89,0.0,0.0,0.0,331.97,0.0,2.69,151.45,0.88,0.0,0.0
2023-04-01 16:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.16,5.51,0.49,100694.53,0.0,0.0,0.0,327.69,0.0,2.26,143.56,0.36,0.0,0.0
2023-04-01 17:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.3,4.97,0.53,100750.96,0.0,0.0,0.0,310.55,0.0,1.4,131.94,0.29,0.0,0.0
2023-04-01 18:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.63,4.6,0.54,100794.77,0.0,0.0,0.0,308.07,0.0,1.23,121.53,0.52,0.0,0.0
2023-04-01 19:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.22,4.16,0.54,100759.67,0.0,0.0,0.0,315.69,0.0,1.67,96.54,0.44,0.0,0.0
2023-04-01 20:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.13,3.88,0.57,100783.54,0.0,0.0,0.0,315.01,0.0,1.52,73.31,0.41,0.0,0.0
2023-04-01 21:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.07,3.65,0.56,100809.56,0.0,0.0,0.0,312.85,0.0,1.41,55.05,0.4,0.0,0.0
2023-04-01 22:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,15.1,3.88,0.47,100849.63,0.0,0.0,0.0,330.21,0.0,1.84,71.82,0.96,0.0,0.0
2023-04-01 23:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.72,3.44,0.47,100908.06,118.48,19.4,30.29,316.49,10.89,1.9,88.38,0.94,0.0,0.0
2023-04-02 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.97,3.43,0.46,100928.86,318.3,75.06,166.86,310.4,91.81,1.73,99.8,0.9,0.0,0.0
2023-04-02 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.9,3.8,0.47,100954.52,351.0,127.51,292.08,316.96,164.56,1.75,117.32,1.0,0.0,0.0
2023-04-02 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.2,4.6,0.41,100930.98,377.91,181.87,416.52,328.62,234.65,2.19,135.56,1.0,0.0,0.0
2023-04-02 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.37,5.15,0.42,100911.84,193.84,277.48,419.81,342.04,142.33,2.54,158.12,1.0,0.0,0.0
2023-04-02 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.11,5.91,0.42,100871.72,188.28,303.27,454.13,347.66,150.86,2.88,185.04,1.0,0.0,0.0
2023-04-02 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,20.53,6.71,0.41,100847.2,170.33,275.3,414.49,352.11,139.19,3.02,201.67,1.0,0.0,0.0
2023-04-02 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,21.82,6.38,0.37,100757.47,403.0,223.68,538.46,341.01,314.78,2.23,214.56,1.0,0.0,0.0
2023-04-02 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,22.18,5.58,0.34,100642.11,159.2,189.83,300.55,362.23,110.72,1.7,214.35,1.0,0.0,0.0
2023-04-02 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,21.37,3.74,0.31,100549.06,90.45,126.23,177.43,367.97,51.2,1.09,225.15,1.0,0.0,0.0
2023-04-02 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,21.86,3.3,0.3,100506.17,37.89,113.73,128.95,371.46,15.22,0.95,282.66,1.0,0.0,0.0
2023-04-02 10:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.22,6.03,0.45,100568.59,30.84,59.71,66.31,358.26,6.6,1.11,316.1,1.0,0.0,0.0
2023-04-02 11:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.36,6.4,0.46,100671.59,0.0,6.28,6.41,366.3,0.13,1.24,4.93,1.0,0.0,0.0
2023-04-02 12:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.08,6.59,0.47,100777.34,0.0,0.0,0.0,356.92,0.0,1.44,29.47,1.0,0.0,0.0
2023-04-02 13:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.61,5.92,0.46,100840.68,0.0,0.0,0.0,342.78,0.0,1.76,61.15,1.0,0.0,0.0
2023-04-02 14:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.03,3.33,0.4,100845.52,0.0,0.0,0.0,341.58,0.0,2.28,73.3,0.99,0.0,0.0
2023-04-02 15:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.67,0.81,0.39,100857.47,0.0,0.0,0.0,327.39,0.0,2.65,76.99,1.0,0.0,0.0
2023-04-02 16:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.92,-0.92,0.36,100881.98,0.0,0.0,0.0,323.08,0.0,2.32,69.28,1.0,0.0,0.0
2023-04-02 17:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.1,-1.44,0.37,100916.2,0.0,0.0,0.0,322.15,0.0,1.73,42.01,1.0,0.0,0.0
2023-04-02 18:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.99,-1.65,0.36,100961.87,0.0,0.0,0.0,323.2,0.0,2.11,21.56,1.0,0.0,0.0
2023-04-02 19:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.53,-1.62,0.37,100997.48,0.0,0.0,0.0,319.82,0.0,2.46,23.04,1.0,0.0,0.0
2023-04-02 20:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,11.79,-0.81,0.42,100997.5,0.0,0.0,0.0,315.79,0.0,2.69,30.3,1.0,0.0,0.0
2023-04-02 21:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,11.6,-0.28,0.44,101034.92,0.0,0.0,0.0,319.07,0.0,2.73,33.16,1.0,0.0,0.0
2023-04-02 22:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.04,-0.87,0.41,101061.4,0.0,0.0,0.0,319.85,0.0,3.11,46.17,1.0,0.0,0.0
2023-04-02 23:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.46,-0.13,0.42,101144.92,2.27,21.82,22.04,322.38,0.22,2.33,40.4,1.0,0.0,0.0
2023-04-03 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.05,0.82,0.43,101228.44,4.38,88.56,89.85,325.93,1.29,2.3,37.53,1.0,0.0,0.0
2023-04-03 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.4,2.29,0.47,101277.25,34.99,162.7,179.28,330.32,16.57,2.63,45.47,1.0,0.0,0.0
2023-04-03 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,15.19,3.41,0.45,101326.71,29.45,215.54,233.96,334.55,18.42,2.93,53.75,1.0,0.0,0.0
2023-04-03 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,15.4,4.16,0.47,101352.33,11.02,233.04,241.17,339.99,8.14,3.04,56.41,1.0,0.0,0.0
2023-04-03 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,15.58,4.56,0.48,101309.91,10.54,229.4,237.89,342.72,8.49,3.1,57.22,1.0,0.0,0.0
2023-04-03 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.8,4.07,0.43,101259.2,4.47,199.17,202.84,347.77,3.67,3.31,57.81,1.0,0.0,0.0
2023-04-03 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.29,3.42,0.4,101207.61,8.94,197.27,204.29,349.33,7.02,3.57,61.1,1.0,0.0,0.0
2023-04-03 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.63,2.4,0.36,101183.09,9.53,177.3,183.96,349.31,6.66,3.64,69.15,1.0,0.0,0.0
2023-04-03 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.56,0.99,0.33,101195.55,13.34,136.38,143.98,346.99,7.6,3.38,70.42,1.0,0.0,0.0
2023-04-03 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.66,0.65,0.32,101212.46,24.89,109.78,119.86,347.23,10.08,3.16,71.75,0.99,0.0,0.0
2023-04-03 10:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.6,0.37,0.33,101276.74,4.21,45.25,46.16,347.89,0.91,2.78,81.9,1.0,0.0,0.0
2023-04-03 11:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.26,0.83,0.35,101279.25,0.0,4.85,4.84,346.01,0.0,2.69,79.77,1.0,0.0,0.0
2023-04-03 12:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.0,1.1,0.36,101356.36,0.0,0.0,0.0,345.15,0.0,2.68,81.76,1.0,0.01,0.0
2023-04-03 13:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,15.06,2.32,0.42,101434.75,0.0,0.0,0.0,344.88,0.0,2.62,79.04,1.0,0.08,0.0
2023-04-03 14:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.04,3.28,0.48,101456.62,0.0,0.0,0.0,342.33,0.0,2.11,71.98,1.0,0.09,0.0
2023-04-03 15:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.25,3.12,0.5,101435.42,0.0,0.0,0.0,339.08,0.0,1.89,44.02,1.0,0.02,0.0
2023-04-03 16:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.37,3.35,0.51,101409.4,0.0,0.0,0.0,337.83,0.0,2.42,37.83,1.0,0.02,0.0
2023-04-03 17:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.4,2.39,0.47,101412.5,0.0,0.0,0.0,336.41,0.0,2.84,46.51,1.0,0.0,0.0
2023-04-03 18:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.43,0.88,0.42,101412.27,0.0,0.0,0.0,331.8,0.0,2.95,42.25,1.0,0.0,0.0
2023-04-03 19:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.24,0.25,0.41,101393.45,0.0,0.0,0.0,334.92,0.0,3.14,31.42,1.0,0.0,0.0
2023-04-03 20:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.68,-0.43,0.4,101362.72,0.0,0.0,0.0,331.25,0.0,3.49,24.1,1.0,0.0,0.0
2023-04-03 21:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.55,-0.09,0.42,101351.11,0.0,0.0,0.0,324.76,0.0,3.84,22.15,1.0,0.0,0.0
2023-04-03 22:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,11.94,0.93,0.47,101284.75,0.0,0.04,0.0,321.92,0.0,4.2,26.22,1.0,0.0,0.0
2023-04-03 23:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,11.93,1.37,0.48,101224.02,0.46,15.41,15.46,322.63,0.05,4.93,28.45,1.0,0.0,0.0
2023-04-04 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.1,1.76,0.49,101340.36,10.15,59.44,62.47,325.14,3.03,5.08,33.79,1.0,0.0,0.0
