datetime,coordinates,model,model elevation,utc_offset,temperature,dewpoint_temperature,relative_humidity,surface_pressure,direct_normal_solar_radiation,surface_diffuse_solar_radiation,surface_solar_radiation,surface_thermal_radiation,surface_direct_solar_radiation,wind_speed,wind_direction,total_cloud_cover,total_precipitation,snowfall
2025-11-01 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,6.01,2.01,0.76,101136.24,294.69,40.83,79.2,252.15,38.38,2.62,306.01,0.0,0.0,0.0
2025-11-01 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,8.5,2.35,0.65,101163.86,524.06,79.7,235.43,255.73,155.74,2.02,306.02,0.0,0.0,0.0
2025-11-01 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,15.71,2.99,0.42,101111.12,658.58,100.88,386.0,262.62,285.13,1.72,298.62,0.0,0.0,0.0
2025-11-01 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,16.62,-1.07,0.3,101084.16,728.13,113.07,497.72,269.32,384.65,2.86,290.62,0.0,0.0,0.0
2025-11-01 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.01,-0.98,0.29,101008.45,756.93,118.68,555.17,273.58,436.49,3.47,289.58,0.0,0.0,0.0
2025-11-01 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,18.84,-2.76,0.23,100939.39,756.32,118.01,552.75,276.86,434.73,3.54,285.85,0.01,0.0,0.0
2025-11-01 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.37,-2.4,0.23,100896.08,679.96,123.99,479.49,286.84,355.5,3.57,295.05,0.09,0.0,0.0
2025-11-01 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,19.62,-1.84,0.23,100891.39,596.37,103.68,356.7,286.57,253.02,3.16,311.57,0.08,0.0,0.0
2025-11-01 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.42,-2.37,0.26,100964.04,452.64,83.1,212.48,287.46,129.38,2.7,331.62,0.11,0.0,0.0
2025-11-01 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,17.04,-4.53,0.23,101104.45,247.24,36.01,64.93,282.4,28.92,3.69,343.26,0.04,0.0,0.0
2025-11-01 10:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.03,-5.38,0.26,101169.09,0.0,0.6,0.62,278.18,0.02,3.57,358.42,0.01,0.0,0.0
2025-11-01 11:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.09,-5.4,0.27,101331.67,0.0,0.0,0.0,269.74,0.0,3.31,3.63,0.0,0.0,0.0
2025-11-01 12:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.48,-4.47,0.3,101448.52,0.0,0.0,0.0,260.27,0.0,2.93,0.91,0.0,0.0,0.0
2025-11-01 13:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,11.76,-3.74,0.34,101571.08,0.0,0.0,0.0,255.44,0.0,2.72,356.72,0.0,0.0,0.0
2025-11-01 14:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,10.48,-3.03,0.39,101675.55,0.0,0.0,0.0,251.39,0.0,2.55,357.9,0.0,0.0,0.0
2025-11-01 15:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,7.13,-3.95,0.45,101789.51,0.0,0.0,0.0,247.27,0.0,2.42,1.01,0.0,0.0,0.0
2025-11-01 16:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,6.63,-3.28,0.49,101866.45,0.0,0.0,0.0,243.28,0.0,2.3,5.48,0.0,0.0,0.0
2025-11-01 17:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,5.58,-3.04,0.54,101950.91,0.0,0.0,0.0,239.58,0.0,2.26,8.01,0.0,0.0,0.0
2025-11-01 18:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,5.38,-2.95,0.55,102013.55,0.0,0.0,0.0,236.67,0.0,2.21,5.94,0.0,0.0,0.0
2025-11-01 19:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,5.15,-2.52,0.58,102043.49,0.0,0.0,0.0,238.29,0.0,2.14,1.66,0.0,0.0,0.0
2025-11-01 20:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,3.14,-2.74,0.65,102087.3,0.0,0.0,0.0,235.97,0.0,2.05,357.08,0.0,0.0,0.0
2025-11-01 21:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,3.27,-2.89,0.64,102129.68,0.0,0.0,0.0,233.62,0.0,2.03,352.0,0.0,0.0,0.0
2025-11-01 22:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,4.03,-2.24,0.64,102127.04,0.0,0.0,0.0,231.46,0.0,2.15,346.39,0.0,0.0,0.0
2025-11-01 23:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,3.86,-2.15,0.65,102205.78,0.0,1.25,1.31,229.68,0.06,2.01,345.29,0.0,0.0,0.0
2025-11-02 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,5.03,-1.78,0.61,102301.83,303.09,40.82,79.14,230.56,38.32,1.79,348.94,0.0,0.0,0.0
2025-11-02 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,6.36,-1.78,0.56,102347.15,537.83,80.5,238.15,234.46,157.65,1.17,15.84,0.0,0.0,0.0
2025-11-02 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.29,-4.1,0.32,102370.2,672.62,101.95,390.3,240.72,288.34,1.36,36.87,0.0,0.0,0.0
2025-11-02 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.68,-5.19,0.28,102309.21,740.22,114.21,501.98,246.8,387.77,1.13,24.97,0.0,0.0,0.0
2025-11-02 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.66,-5.26,0.28,102246.75,765.98,119.92,558.18,251.91,438.26,0.6,16.36,0.0,0.0,0.0
2025-11-02 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.76,-4.96,0.25,102144.0,760.23,119.57,553.12,256.38,433.55,0.33,160.78,0.0,0.0,0.0
2025-11-02 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.77,-4.78,0.26,102076.47,723.02,113.17,487.96,259.72,374.79,1.31,163.8,0.0,0.0,0.0
2025-11-02 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.64,-4.52,0.26,102008.13,645.39,100.1,371.12,261.88,271.03,2.23,159.21,0.0,0.0,0.0
2025-11-02 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.94,-3.95,0.31,102045.12,498.0,77.53,217.83,262.45,140.29,2.78,158.04,0.0,0.0,0.0
2025-11-02 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.79,-4.35,0.3,102069.75,264.6,35.61,65.53,261.58,29.92,2.35,164.9,0.0,0.0,0.0
