datetime,coordinates,model,model elevation,utc_offset,temperature,dewpoint_temperature,relative_humidity,surface_pressure,direct_normal_solar_radiation,surface_diffuse_solar_radiation,surface_solar_radiation,surface_thermal_radiation,surface_direct_solar_radiation,wind_speed,wind_direction,total_cloud_cover,total_precipitation,snowfall
2024-07-01 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,24.26,20.16,0.78,99877.07,75.83,154.98,190.52,402.19,35.54,1.21,43.38,1.0,0.0,0.0
2024-07-01 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,24.66,19.99,0.75,99858.01,149.38,207.09,301.94,412.05,94.86,2.69,71.3,1.0,0.0,0.0
2024-07-01 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,27.32,19.3,0.62,99868.7,138.62,270.06,377.52,412.39,107.47,3.39,73.84,1.0,0.0,0.0
2024-07-01 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,27.16,19.4,0.63,99879.28,63.3,285.57,341.26,420.96,55.69,3.39,84.05,1.0,0.23,0.0
2024-07-01 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,26.07,20.35,0.71,99881.18,32.2,242.1,272.42,422.05,30.32,2.62,102.77,1.0,1.39,0.0
2024-07-01 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,26.89,20.64,0.69,99852.24,40.56,237.72,276.5,421.4,38.78,2.14,111.06,1.0,1.65,0.0
2024-07-01 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,26.04,21.42,0.76,99769.46,1.89,143.48,145.22,424.86,1.74,1.85,118.96,1.0,1.18,0.0
2024-07-01 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,26.19,21.49,0.75,99748.93,44.47,260.47,297.99,423.75,37.52,1.51,133.8,1.0,0.0,0.0
2024-07-01 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,26.08,21.11,0.74,99696.92,64.39,242.48,289.13,417.59,46.65,1.68,146.11,1.0,0.04,0.0
2024-07-01 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,26.57,20.99,0.71,99724.8,38.49,162.18,184.22,416.44,22.04,1.64,167.38,1.0,0.1,0.0
2024-07-01 10:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,26.28,18.78,0.63,99700.02,14.23,105.89,111.58,411.12,5.68,1.16,215.87,1.0,0.02,0.0
2024-07-01 11:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,25.94,19.8,0.69,99809.56,5.75,46.99,48.23,412.2,1.24,0.53,260.51,1.0,0.0,0.0
2024-07-01 12:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,25.95,19.56,0.68,99806.18,0.0,7.27,7.33,413.49,0.06,0.43,310.41,1.0,0.0,0.0
2024-07-01 13:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,25.73,19.74,0.7,99814.17,0.0,0.0,0.0,409.64,0.0,0.39,262.54,1.0,0.0,0.0
2024-07-01 14:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,25.23,20.02,0.73,99855.79,0.0,0.0,0.0,406.18,0.0,0.93,246.16,1.0,0.01,0.0
2024-07-01 15:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,23.99,20.32,0.8,99845.43,0.0,0.0,0.0,406.9,0.0,0.95,250.68,1.0,0.06,0.0
2024-07-01 16:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,23.92,20.37,0.81,99801.34,0.0,0.0,0.0,409.36,0.0,0.83,285.74,1.0,0.06,0.0
2024-07-01 17:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,23.46,20.47,0.83,99781.04,0.0,0.0,0.0,402.45,0.0,1.03,320.95,1.0,0.09,0.0
2024-07-01 18:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,23.25,20.85,0.86,99765.23,0.0,0.0,0.0,397.87,0.0,1.06,318.49,1.0,0.04,0.0
