datetime,coordinates,model,model elevation,utc_offset,temperature,dewpoint_temperature,relative_humidity,surface_pressure,direct_normal_solar_radiation,surface_diffuse_solar_radiation,surface_solar_radiation,surface_thermal_radiation,surface_direct_solar_radiation,wind_speed,wind_direction,total_cloud_cover,total_precipitation,snowfall
2024-12-01 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-2.04,-3.3,0.91,100427.71,0.0,12.18,17.0,240.42,4.82,1.17,330.36,0.0,0.0,0.0
2024-12-01 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,0.75,-1.34,0.86,100469.3,376.27,57.17,127.22,241.61,70.05,1.29,327.48,0.0,0.0,0.0
2024-12-01 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,7.62,0.26,0.6,100394.48,562.83,84.14,263.93,244.65,179.79,0.66,347.39,0.0,0.0,0.0
2024-12-01 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,8.62,0.45,0.56,100337.16,662.16,98.75,373.34,248.99,274.58,0.48,10.02,0.0,0.0,0.0
2024-12-01 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,9.38,0.76,0.55,100247.5,706.39,105.41,434.16,253.33,328.75,0.36,346.6,0.0,0.0,0.0
2024-12-01 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.99,0.34,0.42,100154.6,709.01,105.71,437.62,256.68,331.91,0.61,289.6,0.0,0.0,0.0
2024-12-01 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.45,0.17,0.4,100099.6,675.49,99.05,384.58,258.32,285.53,1.15,280.4,0.04,0.0,0.0
2024-12-01 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.74,0.64,0.41,100082.5,583.86,87.24,281.2,258.56,193.96,1.12,273.82,0.13,0.0,0.0
2024-12-01 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,10.69,3.33,0.6,100123.43,396.4,63.77,144.17,257.05,80.39,1.38,270.39,0.13,0.0,0.0
2024-12-01 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,10.87,1.3,0.52,100214.24,0.0,17.55,24.82,255.97,7.27,1.91,269.43,0.28,0.0,0.0
2024-12-01 10:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,7.34,-3.26,0.47,100275.97,0.0,0.0,0.0,255.16,0.0,2.35,253.18,0.38,0.0,0.0
2024-12-01 11:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,7.73,-4.71,0.41,100352.41,0.0,0.0,0.0,262.14,0.0,2.47,283.23,0.76,0.0,0.0
