datetime,coordinates,model,model elevation,utc_offset,temperature,dewpoint_temperature,relative_humidity,surface_pressure,direct_normal_solar_radiation,surface_diffuse_solar_radiation,surface_solar_radiation,surface_thermal_radiation,surface_direct_solar_radiation,wind_speed,wind_direction,total_cloud_cover,total_precipitation,snowfall
2023-03-01 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,1.6,-7.57,0.51,102331.77,366.52,36.41,80.32,212.36,43.91,3.34,309.9,0.0,0.0,0.0
2023-03-01 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,4.62,-11.24,0.31,102454.0,619.25,77.45,264.63,214.18,187.19,4.23,321.31,0.0,0.0,0.0
2023-03-01 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,8.4,-18.78,0.13,102463.64,765.23,99.63,450.3,216.2,350.67,6.02,330.81,0.0,0.0,0.0
2023-03-01 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,8.06,-15.03,0.18,102470.24,840.38,113.18,598.16,215.93,484.98,5.77,333.13,0.0,0.0,0.0
2023-03-01 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,8.16,-14.11,0.19,102472.65,875.23,120.73,690.26,217.96,569.54,5.47,333.86,0.0,0.0,0.0
2023-03-01 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,9.86,-16.18,0.14,102403.52,884.66,122.98,719.36,220.02,596.38,5.14,331.8,0.0,0.0,0.0
2023-03-01 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,10.12,-16.25,0.14,102337.72,871.73,120.07,682.97,221.62,562.89,4.96,331.2,0.0,0.0,0.0
2023-03-01 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,10.35,-16.37,0.14,102286.08,829.9,111.91,582.82,223.24,470.91,4.92,331.88,0.0,0.0,0.0
2023-03-01 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,10.25,-16.82,0.13,102298.71,751.01,97.71,431.63,223.51,333.91,4.6,333.17,0.0,0.0,0.0
2023-03-01 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,9.91,-14.61,0.16,102297.85,600.0,74.62,246.02,222.95,171.4,2.74,338.12,0.0,0.0,0.0
2023-03-01 10:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,4.1,-11.92,0.3,102315.28,350.88,30.71,66.29,220.32,35.58,2.38,14.29,0.0,0.0,0.0
2023-03-01 11:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,3.94,-12.28,0.3,102406.34,0.0,0.1,0.06,217.31,0.0,2.56,22.63,0.0,0.0,0.0
2023-03-01 12:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,2.71,-12.05,0.33,102486.21,0.0,0.0,0.0,216.02,0.0,2.43,24.93,0.0,0.0,0.0
2023-03-01 13:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,2.44,-11.92,0.34,102537.86,0.0,0.0,0.0,214.46,0.0,2.33,29.3,0.0,0.0,0.0
2023-03-01 14:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,1.48,-11.43,0.38,102534.5,0.0,0.0,0.0,213.25,0.0,1.96,36.04,0.0,0.0,0.0
2023-03-01 15:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-1.5,-12.13,0.44,102565.07,0.0,0.0,0.0,212.46,0.0,1.12,52.44,0.0,0.0,0.0
2023-03-01 16:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-1.68,-11.79,0.46,102600.43,0.0,0.0,0.0,212.37,0.0,0.37,232.41,0.0,0.0,0.0
2023-03-01 17:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-2.72,-11.33,0.52,102604.54,0.0,0.0,0.0,212.75,0.0,1.56,242.95,0.0,0.0,0.0
2023-03-01 18:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-3.23,-11.17,0.54,102590.1,0.0,0.0,0.0,212.93,0.0,2.16,246.5,0.0,0.0,0.0
2023-03-01 19:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-3.34,-11.32,0.54,102545.6,0.0,0.0,0.0,211.92,0.0,2.46,244.29,0.0,0.0,0.0
2023-03-01 20:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-4.05,-11.36,0.57,102451.67,0.0,0.0,0.0,211.73,0.0,2.19,240.42,0.0,0.0,0.0
2023-03-01 21:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-3.61,-11.81,0.53,102405.31,0.0,0.0,0.0,211.89,0.0,1.57,224.7,0.0,0.0,0.0
2023-03-01 22:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-1.62,-11.25,0.48,102372.5,0.0,0.0,0.0,212.52,0.0,1.08,230.3,0.0,0.0,0.0
2023-03-01 23:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-2.12,-10.79,0.51,102380.32,0.0,0.71,0.77,213.2,0.06,1.17,234.33,0.0,0.0,0.0
2023-03-02 00:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,-1.46,-10.11,0.52,102425.54,366.33,37.6,83.32,215.53,45.73,1.6,225.39,0.0,0.0,0.0
2023-03-02 01:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,1.64,-9.32,0.44,102431.77,611.0,77.71,265.53,219.31,187.82,1.65,207.39,0.0,0.0,0.0
2023-03-02 02:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,7.58,-10.03,0.27,102323.32,750.75,99.53,447.43,224.32,347.9,2.42,203.91,0.0,0.0,0.0
2023-03-02 03:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,7.83,-10.03,0.27,102267.4,824.49,112.86,592.9,229.68,480.04,3.21,204.3,0.0,0.0,0.0
2023-03-02 04:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,8.24,-9.91,0.27,102098.88,860.67,120.23,684.62,234.71,564.39,3.87,206.88,0.0,0.0,0.0
2023-03-02 05:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,12.8,-8.42,0.22,101950.98,870.73,122.36,713.6,239.42,591.24,4.4,208.0,0.0,0.0,0.0
2023-03-02 06:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.1,-8.46,0.21,101747.41,857.27,119.37,676.94,243.95,557.57,4.72,207.67,0.0,0.0,0.0
2023-03-02 07:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,13.4,-8.25,0.21,101627.86,817.65,111.42,579.03,247.84,467.61,4.86,205.9,0.0,0.0,0.0
2023-03-02 08:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.32,-6.45,0.23,101549.56,738.24,97.32,428.68,250.27,331.35,4.75,203.73,0.0,0.0,0.0
2023-03-02 09:00:00,"(39.906217, 116.391276)",era5,56.18,8.0,14.44,-5.32,0.25,101518.96,588.23,74.51,244.88,251.01,170.38,3.77,199.99,0.0,0.0,0.0
